match_id,season,date,venue,team,opp,is_home,toss_won,team_bats_first,toss_won_bat_first,form_rate,form_diff,home_toss_won,home_toss_bat_first,elo_team,elo_opp,venue_win_rate,win_flag,is_home_x_toss_won,elo_diff
524930,2011/12,2012-01-04,Melbourne Cricket Ground,Perth Scorchers,Melbourne Stars,0,1,1,1,0.6666666666666666,0.3333333333333333,0,0,1509.4249887221547,1490.0,1.0,1,0,19.424988722154694
524933,2011/12,2012-01-08,Stadium Australia,Sydney Thunder,Sydney Sixers,0,0,0,0,0.5,0.0,0,0,1499.4451637518157,1499.4578769887073,1.0,0,0,-0.012713236891613633
524933,2011/12,2012-01-08,Stadium Australia,Sydney Sixers,Sydney Thunder,0,1,1,1,0.5,0.0,0,0,1499.4578769887073,1499.4451637518157,1.0,1,0,0.012713236891613633
524934,2011/12,2012-01-08,Western Australia Cricket Association Ground,Perth Scorchers,Adelaide Strikers,1,1,1,1,0.75,0.4166666666666667,1,1,1518.8664744330495,1490.5750112778453,1.0,1,1,28.291463155204156
524934,2011/12,2012-01-08,Western Australia Cricket Association Ground,Adelaide Strikers,Perth Scorchers,0,0,0,0,0.3333333333333333,-0.4166666666666667,1,1,1490.5750112778453,1518.8664744330495,1.0,0,0,-28.291463155204156
524935,2011/12,2012-01-09,Bellerive Oval,Hobart Hurricanes,Melbourne Stars,1,0,0,0,1.0,0.75,0,0,1538.8335922950932,1480.5585142891052,1.0,0,0,58.27507800598801
524935,2011/12,2012-01-09,Bellerive Oval,Melbourne Stars,Hobart Hurricanes,0,1,1,1,0.25,-0.75,0,0,1480.5585142891052,1538.8335922950932,1.0,1,0,-58.27507800598801
524936,2011/12,2012-01-10,Adelaide Oval,Adelaide Strikers,Sydney Sixers,1,0,0,0,0.25,-0.35,0,0,1481.38751001415,1509.4575110723356,1.0,0,0,-28.070001058185653
524936,2011/12,2012-01-10,Adelaide Oval,Sydney Sixers,Adelaide Strikers,0,1,1,1,0.6,0.35,0,0,1509.4575110723356,1481.38751001415,1.0,1,0,28.070001058185653
524938,2011/12,2012-01-12,Docklands Stadium,Melbourne Renegades,Brisbane Heat,1,0,0,0,0.5,0.5,0,0,1501.6883556865384,1470.5750112778453,1.0,0,0,31.113344408693138
524938,2011/12,2012-01-12,Docklands Stadium,Brisbane Heat,Melbourne Renegades,0,1,1,1,0.0,-0.5,0,0,1470.5750112778453,1501.6883556865384,1.0,1,0,-31.113344408693138
524939,2011/12,2012-01-17,"Brisbane Cricket Ground, Woolloongabba",Brisbane Heat,Sydney Thunder,1,0,1,0,0.25,-0.15000000000000002,0,0,1481.4681391252684,1489.4455296681874,1.0,1,0,-7.977390542919011
524939,2011/12,2012-01-17,"Brisbane Cricket Ground, Woolloongabba",Sydney Thunder,Brisbane Heat,0,1,0,0,0.4,0.15000000000000002,0,0,1489.4455296681874,1481.4681391252684,1.0,0,0,7.977390542919011
524940,2011/12,2012-01-18,Bellerive Oval,Hobart Hurricanes,Melbourne Renegades,1,0,0,0,0.8,0.4,0,0,1527.1718548312465,1490.7952278391153,1.0,1,0,36.37662699213115
524940,2011/12,2012-01-18,Bellerive Oval,Melbourne Renegades,Hobart Hurricanes,0,1,1,1,0.4,-0.4,0,0,1490.7952278391153,1527.1718548312465,1.0,0,0,-36.37662699213115
524941,2011/12,2012-01-18,Sydney Cricket Ground,Sydney Sixers,Perth Scorchers,1,1,1,1,0.6666666666666666,-0.13333333333333341,1,1,1518.6513447751795,1528.0539756967448,1.0,1,1,-9.402630921565333
524941,2011/12,2012-01-18,Sydney Cricket Ground,Perth Scorchers,Sydney Sixers,0,0,0,0,0.8,0.13333333333333341,1,1,1528.0539756967448,1518.6513447751795,1.0,0,0,9.402630921565333
524942,2011/12,2012-01-19,Melbourne Cricket Ground,Melbourne Stars,Adelaide Strikers,1,0,0,0,0.4,0.2,0,0,1492.220251752952,1472.193676311306,1.0,1,0,20.026575441645946
524942,2011/12,2012-01-19,Melbourne Cricket Ground,Adelaide Strikers,Melbourne Stars,0,1,1,1,0.2,-0.2,0,0,1472.193676311306,1492.220251752952,1.0,0,0,-20.026575441645946
524943,2011/12,2012-01-21,Western Australia Cricket Association Ground,Perth Scorchers,Melbourne Stars,1,1,1,1,0.6666666666666666,0.16666666666666663,1,1,1517.783412274914,1501.6444781048228,1.0,1,1,16.13893417009126
524943,2011/12,2012-01-21,Western Australia Cricket Association Ground,Melbourne Stars,Perth Scorchers,0,0,0,0,0.5,-0.16666666666666663,1,1,1501.6444781048228,1517.783412274914,1.0,0,0,-16.13893417009126
524944,2011/12,2012-01-22,Bellerive Oval,Hobart Hurricanes,Sydney Sixers,1,0,0,0,0.8333333333333334,0.11904761904761907,0,0,1536.128660449279,1528.9219081970102,1.0,0,0,7.2067522522688705
524944,2011/12,2012-01-22,Bellerive Oval,Sydney Sixers,Hobart Hurricanes,0,1,1,1,0.7142857142857143,-0.11904761904761907,0,0,1528.9219081970102,1536.128660449279,1.0,1,0,-7.2067522522688705
524945,2011/12,2012-01-28,Western Australia Cricket Association Ground,Perth Scorchers,Sydney Sixers,1,1,1,1,0.7142857142857143,-0.0357142857142857,1,1,1527.3192302243601,1539.1293054567868,1.0,0,1,-11.810075232426698
524945,2011/12,2012-01-28,Western Australia Cricket Association Ground,Sydney Sixers,Perth Scorchers,0,0,0,0,0.75,0.0357142857142857,1,1,1539.1293054567868,1527.3192302243601,1.0,1,0,11.810075232426698
571232,2012/13,2012-12-07,Docklands Stadium,Melbourne Renegades,Melbourne Stars,1,0,0,0,0.3333333333333333,-0.09523809523809523,0,0,1481.8384222210827,1492.1086601553768,1.0,1,0,-10.270237934294073
571232,2012/13,2012-12-07,Docklands Stadium,Melbourne Stars,Melbourne Renegades,0,1,1,1,0.42857142857142855,0.09523809523809523,0,0,1492.1086601553768,1481.8384222210827,1.0,0,0,10.270237934294073
571233,2012/13,2012-12-08,Sydney Cricket Ground,Sydney Sixers,Sydney Thunder,1,1,0,0,0.75,0.4166666666666667,1,0,1548.7895150289535,1479.21596225239,1.0,1,1,69.57355277656347
571233,2012/13,2012-12-08,Sydney Cricket Ground,Sydney Thunder,Sydney Sixers,0,0,1,0,0.3333333333333333,-0.4166666666666667,1,0,1479.21596225239,1548.7895150289535,1.0,0,0,-69.57355277656347
571234,2012/13,2012-12-09,"Brisbane Cricket Ground, Woolloongabba",Brisbane Heat,Hobart Hurricanes,1,1,1,1,0.4,-0.3142857142857143,1,1,1491.6977065410658,1525.9212631895025,1.0,0,1,-34.22355664843667
571234,2012/13,2012-12-09,"Brisbane Cricket Ground, Woolloongabba",Hobart Hurricanes,Brisbane Heat,0,0,0,0,0.7142857142857143,0.3142857142857143,1,1,1525.9212631895025,1491.6977065410658,1.0,1,0,34.22355664843667
571235,2012/13,2012-12-09,Western Australia Cricket Association Ground,Perth Scorchers,Adelaide Strikers,1,1,1,1,0.625,0.45833333333333337,1,1,1517.6590206521935,1462.7694499594352,1.0,0,1,54.8895706927583
571235,2012/13,2012-12-09,Western Australia Cricket Association Ground,Adelaide Strikers,Perth Scorchers,0,0,0,0,0.16666666666666666,-0.45833333333333337,1,1,1462.7694499594352,1517.6590206521935,1.0,1,0,-54.8895706927583
571236,2012/13,2012-12-12,Western Australia Cricket Association Ground,Perth Scorchers,Melbourne Stars,1,0,1,0,0.625,0.25,0,0,1506.0921858326815,1481.8131450145345,1.0,0,0,24.279040818146996
571236,2012/13,2012-12-12,Western Australia Cricket Association Ground,Melbourne Stars,Perth Scorchers,0,1,0,0,0.375,-0.25,0,0,1481.8131450145345,1506.0921858326815,1.0,1,0,-24.279040818146996
